reservation_id,num_of_customers,reservation_time,expiry_time,status,confirmation_code
1,2,2025-12-28 11:05:08.917958,2025-12-28 13:05:08.917958,CONFIRMED,RC1
2,3,2025-12-28 11:05:08.917958,2025-12-28 13:05:08.917958,CONFIRMED,RC2
3,4,2025-12-28 11:05:08.917958,2025-12-28 13:05:08.917958,CONFIRMED,RC3
4,5,2025-12-28 11:05:08.917958,2025-12-28 13:05:08.917958,CONFIRMED,RC4
5,1,2025-12-28 11:05:08.917958,2025-12-28 13:05:08.917958,CONFIRMED,RC5
6,2,2025-12-28 11:05:08.917958,2025-12-28 13:05:08.917958,CONFIRMED,RC6
7,3,2025-12-28 11:05:08.917958,2025-12-28 13:05:08.917958,CONFIRMED,RC7
8,4,2025-12-28 11:05:08.917958,2025-12-28 13:05:08.917958,CONFIRMED,RC8
9,5,2025-12-28 11:05:08.917958,2025-12-28 13:05:08.917958,CONFIRMED,RC9
10,1,2025-12-28 11:05:08.917958,2025-12-28 13:05:08.917958,CONFIRMED,RC10
