visit_id,activity_id,table_id,actual_start_time,actual_end_time
1,1,T01,2025-12-28 11:05:08.917958,2025-12-28 12:05:08.917958
2,2,T02,2025-12-28 11:05:08.917958,2025-12-28 12:05:08.917958
3,3,T03,2025-12-28 11:05:08.917958,2025-12-28 12:05:08.917958
4,4,T04,2025-12-28 11:05:08.917958,2025-12-28 12:05:08.917958
5,5,T05,2025-12-28 11:05:08.917958,2025-12-28 12:05:08.917958
6,6,T06,2025-12-28 11:05:08.917958,2025-12-28 12:05:08.917958
7,7,T07,2025-12-28 11:05:08.917958,2025-12-28 12:05:08.917958
8,8,T08,2025-12-28 11:05:08.917958,2025-12-28 12:05:08.917958
9,9,T09,2025-12-28 11:05:08.917958,2025-12-28 12:05:08.917958
10,10,T10,2025-12-28 11:05:08.917958,2025-12-28 12:05:08.917958
